English words/sentences,French words/sentences
She writes to me once a month.,Elle m'écrit une fois par mois.
She writes with her left hand.,Elle écrit de la main gauche.
She wrote 5 novels in 5 years.,Elle a écrit 5 romans en 5 ans.
She wrote 5 novels in 5 years.,Elle écrivit 5 romans en 5 ans.
"She's a girl, but she's brave.","C'est une fille, mais elle est brave."
She's always busy on weekdays.,Elle est toujours occupée en semaine.
She's always busy on weekdays.,Elle est toujours occupée les jours de semaine.
She's as pretty as her sister.,Elle est aussi jolie que sa sœur.
She's by far the tallest girl.,Elle est de loin la plus grande fille.
She's fond of taking pictures.,Elle aime prendre des photos.
She's getting breakfast ready.,Elle est en train de préparer le petit-déjeuner.
She's just putting up a front.,Elle fait juste semblant.
She's neither rich nor famous.,"Elle n'est ni riche, ni connue."
She's painting her room white.,Elle peint sa chambre en blanc.
"She's really smart, isn't she?","Elle est vraiment intelligente, n'est-ce pas ?"
She's six years older than me.,Elle est six ans plus âgée que moi.
She's usually home on Sundays.,Elle est généralement à la maison le dimanche.
She's waiting for you at home.,Elle t'attend chez elle.
She's waiting for you at home.,Elle t'attend chez nous.
She's waiting for you at home.,Elle t'attend à la maison.
She's waiting for you at home.,Elle vous attend chez elle.
She's waiting for you at home.,Elle vous attend chez nous.
She's waiting for you at home.,Elle vous attend à la maison.
Shouldn't you call the police?,Ne devriez-vous pas appeler la police ?
Shouldn't you call the police?,Ne devrais-tu pas appeler la police ?
Show me what's in your pocket.,Fais-moi voir ce qu'il y a dans ta poche.
"Show me your passport, please.","Montrez-moi votre passeport, s'il vous plaît."
"Show me your passport, please.",Merci de me montrer votre passeport.
"Show me your passport, please.",Veuillez me montrer votre passeport.
"Show me your passport, please.","Passeport, s'il vous plaît."
"Show me your passport, please.","Votre passeport, je vous prie !"
Singapore has one big problem.,Singapour a un grand problème.
Sit down and rest for a while.,Assieds-toi et repose-toi pendant un moment.
Sit down to put your boots on.,Assieds-toi pour mettre tes bottes.
Sleep is better than medicine.,Le sommeil est meilleur que les médicaments.
Smoking is a disgusting habit.,Fumer est une habitude dégoûtante.
Smoking is not permitted here.,Fumer n'est pas autorisé ici.
So what are you talking about?,Alors de quoi parlez-vous ?
So what are you talking about?,Alors de quoi parles-tu ?
So what were we talking about?,"Alors, de quoi étions-nous en train de parler ?"
Some kinds of birds can't fly.,Certaines espèces d'oiseaux ne peuvent pas voler.
Some people are still worried.,Quelques personnes sont toujours inquiètes.
Some people believe in ghosts.,Il y a des gens qui croient aux fantômes.
Some people have all the luck.,Certaines personnes ont toutes les chances.
Some words are hard to define.,Certains mots sont durs à définir.
Somebody caught me by the arm.,Quelqu'un me saisit par le bras.
Somebody has broken this dish.,Quelqu'un a cassé ce plat.
Somebody is playing the piano.,Quelqu'un joue du piano.
Someone should look into this.,Quelqu'un devrait examiner ceci.
Something strange is going on.,Il se passe quelque chose de bizarre.
Something went terribly wrong.,Quelque chose s'est très mal passé.
"Sorry, but I don't understand.",Excusez-moi mais je ne comprends pas.
Sounds like you're having fun.,On entend que vous vous amusez bien.
Speaking English is difficult.,Parler l'anglais est difficile.
Sport is good for your health.,Le sport est bon pour votre santé.
Sport is good for your health.,Le sport est bon pour la santé.
Spring fever is not a disease.,La montée de sève n'est pas une maladie.
Stay and have a drink with us.,Restez et prenez un verre avec nous !
Stay and have a drink with us.,Reste et prends un verre avec nous !
Stop talking and listen to me.,Arrête de parler et écoute-moi.
Stop treating me like a child.,Cesse de me prendre pour un enfant.
Stop treating me like a child.,Cessez de me prendre pour un enfant.
Stop treating me like a child.,Cesse de me prendre pour une enfant.
Stop treating me like a child.,Cessez de me prendre pour une enfant.
Stop treating me like a child.,Arrête de me prendre pour un enfant.
Stop treating me like a child.,Arrêtez de me prendre pour un enfant.
Stop treating me like a child.,Arrête de me prendre pour une enfant.
