English words/sentences,French words/sentences
Have you called an ambulance yet?,Avez-vous déjà appelé une ambulance?
Have you called the boss already?,As-tu déjà appelé le patron ?
Have you called the boss already?,As-tu déjà appelé la patronne ?
Have you called the boss already?,Avez-vous déjà appelé le patron ?
Have you called the boss already?,Avez-vous déjà appelé la patronne ?
Have you checked under the couch?,Est-ce que tu as vérifié sous le canapé ?
Have you checked under the couch?,Est-ce que vous avez vérifié sous le canapé ?
Have you decoded the message yet?,Avez-vous enfin décodé le message ?
Have you decoded the message yet?,As-tu enfin décodé le message ?
Have you ever been kissed before?,Vous a-t-on jamais embrassé auparavant ?
Have you ever been kissed before?,Vous a-t-on jamais embrassée auparavant ?
Have you ever been kissed before?,Vous a-t-on jamais embrassées auparavant ?
Have you ever been kissed before?,Vous a-t-on jamais embrassés auparavant ?
Have you ever been kissed before?,T'a-t-on jamais embrassé auparavant ?
Have you ever been kissed before?,T'a-t-on jamais embrassée auparavant ?
Have you ever cheated on an exam?,As-tu jamais triché à un examen ?
Have you ever cheated on an exam?,Avez-vous jamais triché à un examen ?
Have you ever eaten Mexican food?,Tu as déjà mangé mexicain ?
Have you ever eaten a banana pie?,Tu as déjà mangé de la tarte à la banane ?
Have you ever eaten a banana pie?,As-tu déjà mangé une tarte à la banane ?
Have you ever had a heart attack?,As-tu déjà eu une attaque cardiaque ?
Have you ever had a heart attack?,Avez-vous déjà eu une attaque cardiaque ?
Have you ever heard such a story?,Avez-vous déjà entendu pareille histoire ?
Have you ever heard such a story?,As-tu déjà entendu pareille histoire ?
Have you ever kissed another guy?,As-tu déjà embrassé un autre mec ?
Have you ever kissed another guy?,Avez-vous déjà embrassé un autre type ?
Have you found any good solution?,Est-ce que tu as trouvé une quelconque bonne solution ?
Have you heard from him recently?,"As-tu eu des nouvelles de lui, récemment ?"
Have you heard the latest rumors?,As-tu entendu les dernières rumeurs ?
Have you taken your medicine yet?,As-tu déjà pris ta médication ?
Have you taken your medicine yet?,As-tu déjà pris ton médicament ?
Have you taken your medicine yet?,Avez-vous déjà pris votre médication ?
Have you taken your medicine yet?,Avez-vous déjà pris vos médicaments ?
He acted like he owned the place.,Il s'est comporté comme s'il possédait l'endroit.
He acted like he owned the place.,Il se comporta comme s'il possédait l'endroit.
He acts like he knows everything.,Il se comporte comme s'il savait tout.
He acts very shy in her presence.,Il agit très timidement en sa présence.
He advertised his house for sale.,Il faisait de la publicité pour sa maison à vendre.
He advertised his house for sale.,Il fit de la publicité pour sa maison en vente.
He advertised his house for sale.,Il a fait de la publicité pour la vente de sa maison.
He always cries when he is drunk.,Il pleure toujours lorsqu'il est saoul.
He always relies on other people.,Il compte toujours sur d'autres personnes.
He always treats me like a child.,Il me traite toujours comme un enfant.
He asked if I liked Chinese food.,Il m'a demandé si j'aimais la nourriture chinoise.
He asked me if I knew his father.,Il me demanda si je connaissais son père.
He asked me to pass him the salt.,Il m'a demandé de lui passer le sel.
He asked me to speak more slowly.,Il me pria de parler plus lentement.
He asked me to speak more slowly.,Il m'a prié de parler plus lentement.
He asked me where my uncle lived.,Il me demanda où vivait mon oncle.
He asked me where my uncle lived.,Il m'a demandé où vivait mon oncle.
He barely passed the examination.,Il a réussi l'examen de justesse.
He became rich through hard work.,Il devint riche par un dur labeur.
He became rich through hard work.,Il est devenu riche par un dur labeur.
He became wiser as he grew older.,Il devint plus sage en vieillissant.
He believes that he can prove it.,Il croit pouvoir le prouver.
He bought a bottle of cheap wine.,Il a acheté une bouteille de piquette.
He bought a bottle of cheap wine.,Il acheta une bouteille de piquette.
He built on his father's fortune.,Il a construit sur la fortune de son père.
He calculated the speed of light.,Il calcula la vitesse de la lumière.
He called me up almost every day.,Il m'a appelé presque chaque jour.
He came after everybody had come.,Il arriva après que tout le monde fut venu.
He came to Japan seven years ago.,Il est venu au Japon il y a sept ans.
He can also speak a little Greek.,Il sait aussi parler un peu de grec.
He can't afford to buy a new car.,Il n'a pas les moyens de s'acheter une nouvelle voiture.
He can't afford to buy a new car.,Il ne peut pas se permettre d'acheter une nouvelle voiture.
He can't stop thinking like that.,Il ne peut s'empêcher de penser ainsi.
He cannot have done such a thing.,Il ne peut pas avoir fait une telle chose.
He collected bits of information.,Il a rassemblé des bouts d'informations.
He collected various information.,Il a amassé différentes informations.
He commanded me to shut the gate.,Il m'a ordonné de fermer le portail.
He commutes to his office by bus.,Il se rend à son bureau par autobus.
He continued walking for a while.,Il a continué de marcher pendant un moment.
He convinced me of his innocence.,Il m'a convaincu de son innocence.
He convinced us of her innocence.,Il nous a convaincu de son innocence.
He could not hold back his tears.,Il ne put retenir ses larmes.
He could not hold back his tears.,Il ne pourrait retenir ses larmes.
He could not hold back his tears.,Il n'a pas pu retenir ses larmes.
He couldn't pass the examination.,Il a raté son examen.
He cut down a tree in his garden.,Il a coupé un arbre dans le jardin.
He cut down a tree in the garden.,Il a abattu un arbre dans le jardin.
He cut his finger with the knife.,Il s'est coupé le doigt avec le couteau.
He dared not jump over the brook.,Il n'osa pas sauter par-dessus le ruisseau.
He decided to have the operation.,Il se décida à subir l'opération.
He declared that he was innocent.,Il a déclaré être innocent.
He dedicated himself to research.,Il s'est consacré à la recherche.
He dedicates himself to research.,Il se consacre à la recherche.
He devoted his life to his study.,Il consacra sa vie à ses études.
He did exactly as I had told him.,Il a fait exactement ce que je lui ai dit de faire.
He did the work against his will.,Il a accompli sa tâche sans entrain.
He didn't eat anything yesterday.,Il n'a rien mangé hier.
He didn't go and I didn't either.,Il n'y est pas allé et moi non plus.
He didn't look like a clever boy.,Il n'avait pas l'air intelligent.
He didn't respond to my question.,Il n'a pas répondu à ma question.
He didn't try to answer her back.,Il n'essaya pas de rétorquer.
He didn't try to answer her back.,Il n'a pas essayé de rétorquer.
He didn't want to antagonize her.,Il ne voulait pas la heurter.
He died of old age two years ago.,Il est mort de vieillesse il y a deux ans.
He doesn't have any real friends.,Il n'a pas de véritables amis.
He doesn't have any real friends.,Il n'a aucun véritable ami.
He doesn't know how to play golf.,Il ne sait pas jouer au golf.
He doesn't know much about Japan.,Il ne sait pas grand-chose du Japon.
He doesn't like traveling by air.,Il n'aime pas voyager par avion.
He doesn't want to talk about it.,Il ne veut pas en parler.
He explained the facts at length.,Il a expliqué longuement les faits.
He explained the rules in detail.,Il a expliqué les règles en détail.
He felt nervous about the result.,Il se sentait nerveux au sujet du résultat.
He found the box under the table.,Il trouva la boîte sous la table.
He found the box under the table.,Il a trouvé la boîte sous la table.
He gave body and soul to his job.,Il s'est donné corps et âme à son travail.
He gave me a lecture on drinking.,Il m'a fait la morale sur le fait que je boive.
He gave me his stamp of approval.,Il m'a donné son approbation.
He goes there three times a week.,Il y va trois fois par semaine.
He goes to a school for the deaf.,Il va à une école pour les sourds.
He had a good look at the papers.,Il regarda attentivement les papiers.
He had a shower before breakfast.,Il a pris une douche avant le petit déjeuner.
He had every reason for doing so.,Il avait toutes les raisons de le faire.
He had never seen such a bad boy.,Il n'avait jamais vu un garçon aussi méchant.
He had no choice but to run away.,Il n'eut pas d'autre choix que de s'enfuir en courant.
He had no memory of the accident.,Il n'avait aucun souvenir de l'accident.
He had no memory of the accident.,Il n'eut aucun souvenir de l'accident.
He has a brother and two sisters.,Il a un frère et deux sœurs.
He has a car that has four doors.,Il a une voiture à 4 portes.
He has a car which I gave to him.,Il a une voiture que je lui ai donnée.
